Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Account enabled (true/false) [accountEnabled],First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [officeLocation],Company name [companyName],ZIP or postal code [postalCode],Business phone [businessPhones],Mobile phone [mobilePhone]
Ethan Walker,Ethan.Walker@IAMChris.onmicrosoft.com,Lukas1215@@1,TRUE,Ethan ,Walker,Sales Rep,Sales,US,,,United States,"Morrisville North Carolina, United States",Northwind Services,,,
Marcus Benett,Marcus.Benett@IAMChris.onmicrosoft.com,Lukas1215@@1,TRUE,Marcus,Bennett,Sales Rep,Sales,US,,,United States,"Morrisville North Carolina, United States",Northwind Services,,,
Dereck Mitchell,Dereck.Mitchell@IAMChris.onmicrosoft.com,Lukas1215@@1,TRUE,Dereck,Mitchell,Sales Rep,Sales,US,,,United States,"Morrisville North Carolina, United States",Northwind Services,,,
Marcus Rashford,Marcus.Rashford@IAMChris.onmicrosoft.com,Lukas1215@@1,TRUE,Marcus,Rashford,Parroll Specialist,Finance,US,,,United States,"Morrisville North Carolina, United States",Northwind Services,,,
Anthony Dart,Anthony.Dart@IAMChris.onmicrosoft.com,Lukas1215@@1,TRUE,Anthony,Dart,Billing specialist,Finance,US,,,United States,"Morrisville North Carolina, United States",Northwind Services,,,
Selena Ward,Selena.Ward@IAMChris.onmicrosoft.com,Lukas1215@@1,TRUE,Selena,Ward,Payroll specilaits,Finance,US,,,United States,"Morrisville North Carolina, United States",Northwind Services,,,
Tobias Renn,Tobias.Renn@IAMChris.onmicrosoft.com,Lukas1215@@1,TRUE,Tobia,Renn,Onboarding Specialist,HR,US,,,United States,"Morrisville North Carolina, United States",Northwind Services,,,
Olivia Davis,Olivia.Davis@IAMChris.onmicrosoft.com,Lukas1215@@1,TRUE,Olivia,Davis,offboarding specialist,HR,US,,,United States,"Morrisville North Carolina, United States",Northwind Services,,,
Nathan Collins,Nathan.Collins@IAMChris.onmicrosoft.com,Lukas1215@@1,TRUE,Nathan,Collins,,Contractors,US,,,United States,"Morrisville North Carolina, United States",Northwind Services,,,
Manuel Cordero,Manuel.Cordero@IAMChris.onmicrosoft.com,Lukas1215@@1,TRUE,Manuel,Cordero,,Contractors,US,,,United States,"Morrisville North Carolina, United States",Northwind Services,,,
